Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,pointpos,Prediction_plot,Portfolio Value,Cumulative Returns,Drawdown
2024-09-19 16:14:00+00:00,63002.0,63094.25,62990.02,63071.98,3064065,6051,4,62990.0205,1,10026.320721182368,,0.0
2024-09-19 16:15:00+00:00,63071.97,63104.0,63022.0,63104.0,1444169,6587,3,63022.0005,1,10047.609810834865,0.0021233202332655576,0.0
2024-09-19 16:16:00+00:00,63104.0,63229.17,63095.41,63208.38,4931262,7542,2,63095.410500000005,1,10052.316619117228,0.002592765447841483,0.0
2024-09-19 16:17:00+00:00,63208.39,63260.0,63206.0,63236.0,878754,4252,1,63206.0005,1,10052.63295965224,0.002624316456811604,0.0
2024-09-19 16:18:00+00:00,63235.99,63244.0,63218.0,63237.99,1043908,2913,0,63218.0005,1,10052.63295965224,0.002624316456811604,0.0
2024-09-19 16:19:00+00:00,63237.99,63305.83,63207.23,63207.24,1650212,6451,2,63207.230500000005,1,10065.986161964069,0.0039561312553964,0.0
2024-09-19 16:20:00+00:00,63207.24,63289.0,63207.24,63266.63,945636,5093,1,63207.2405,1,10069.895352006268,0.004346024033705431,0.0
2024-09-19 16:21:00+00:00,63266.64,63310.0,63240.0,63291.2,1191830,4616,0,63240.0005,1,10069.895352006268,0.004346024033705431,0.0
2024-09-19 16:22:00+00:00,63291.2,63291.2,63229.16,63229.16,1015179,4060,0,63229.160500000005,1,10069.895352006268,0.004346024033705431,0.0
2024-09-19 16:23:00+00:00,63229.16,63229.16,63136.0,63186.0,1391449,6383,4,63136.0005,1,10089.057891447364,0.006257247499818153,0.0
2024-09-19 16:24:00+00:00,63186.0,63202.0,63122.21,63186.0,1240327,6978,3,63122.2105,1,10108.25689630394,0.008172107934714568,0.0
2024-09-19 16:25:00+00:00,63186.01,63240.0,63176.07,63230.01,763977,3471,2,63176.0705,1,10120.443394822683,0.009387558632695692,0.0
2024-09-19 16:26:00+00:00,63230.01,63287.88,63230.0,63266.0,1171266,4300,1,63230.0005,1,10126.880448567312,0.010029574175947742,0.0
2024-09-19 16:27:00+00:00,63266.01,63310.0,63263.76,63306.24,1687643,5338,0,63263.7605,1,10126.880448567312,0.010029574175947742,0.0
2024-09-19 16:28:00+00:00,63306.25,63310.0,63276.0,63286.0,1836966,4142,1,63276.0005,1,10129.120696430662,0.010253010860814316,0.0
2024-09-19 16:29:00+00:00,63286.0,63300.0,63264.03,63300.0,806769,4342,0,63264.0305,1,10129.120696430662,0.010253010860814316,0.0
2024-09-19 16:30:00+00:00,63300.0,63309.08,63261.06,63267.82,1330836,6474,4,63261.0605,1,10149.960795568808,0.012331549909951,0.0
2024-09-19 16:31:00+00:00,63267.83,63314.0,63232.12,63289.59,1353811,8728,3,63232.120500000005,1,10167.345261959563,0.014065432844099224,0.0
2024-09-19 16:32:00+00:00,63289.59,63337.17,63266.0,63318.01,2537794,7635,2,63266.0005,1,10180.188120951048,0.015346347284064477,0.0
2024-09-19 16:33:00+00:00,63318.01,63330.0,63294.0,63329.99,744132,4638,1,63294.0005,1,10191.119005232329,0.01643656617744038,0.0
2024-09-19 16:34:00+00:00,63329.99,63398.0,63306.64,63397.99,2438433,8640,0,63306.6405,1,10191.119005232329,0.01643656617744038,0.0
2024-09-19 16:35:00+00:00,63397.98,63400.0,63384.72,63393.89,1828791,2237,1,63384.7205,1,10203.354349482197,0.017656888625735778,0.0
2024-09-19 16:36:00+00:00,63393.92,63470.84,63393.92,63470.0,4203062,8657,0,63393.9205,1,10203.354349482197,0.017656888625735778,0.0
2024-09-19 16:37:00+00:00,63470.0,63480.0,63433.83,63443.92,1589956,4131,1,63433.8305,1,10206.474350175407,0.01796806964417441,0.0
2024-09-19 16:38:00+00:00,63443.92,63472.74,63400.0,63463.32,1974095,5462,0,63400.0005,1,10206.474350175407,0.01796806964417441,0.0
2024-09-19 16:39:00+00:00,63463.31,63470.0,63442.0,63454.0,1211258,3644,0,63442.0005,1,10206.474350175407,0.01796806964417441,0.0
2024-09-19 16:40:00+00:00,63453.99,63454.0,63398.0,63416.01,2393600,4769,0,63398.0005,1,10206.474350175407,0.01796806964417441,0.0
2024-09-19 16:41:00+00:00,63416.01,63416.01,63341.25,63353.19,2718334,4693,2,63341.2505,1,10215.304479473287,0.018848764521530947,0.0
2024-09-19 16:42:00+00:00,63353.2,63420.0,63353.19,63402.0,781674,3106,1,63353.1905,1,10216.27119703546,0.018945182498678825,0.0
2024-09-19 16:43:00+00:00,63402.0,63418.0,63394.0,63408.0,1297721,2153,0,63394.0005,1,10216.27119703546,0.018945182498678825,0.0
2024-09-19 16:44:00+00:00,63408.0,63416.0,63396.0,63401.8,1316585,1523,2,63396.0005,1,10226.155239369054,0.01993099201030879,0.0
2024-09-19 16:45:00+00:00,63401.81,63426.95,63362.01,63426.95,1212731,4586,1,63362.0105,1,10231.990054981547,0.020512941837643295,0.0
2024-09-19 16:46:00+00:00,63426.95,63463.15,63423.52,63463.14,1619971,2792,0,63423.5205,1,10231.990054981547,0.020512941837643295,0.0
2024-09-19 16:47:00+00:00,63463.15,63466.82,63453.36,63453.36,1567469,1922,0,63453.3605,1,10231.990054981547,0.020512941837643295,0.0
2024-09-19 16:48:00+00:00,63453.37,63454.69,63407.99,63445.85,1716020,4580,2,63407.9905,1,10239.752039119932,0.021287102604512276,0.0
2024-09-19 16:49:00+00:00,63445.85,63473.98,63436.0,63473.35,981566,2647,1,63436.0005,1,10243.080145869728,0.021619039597387868,0.0
2024-09-19 16:50:00+00:00,63473.35,63493.99,63458.0,63493.98,1282412,2838,0,63458.0005,1,10243.080145869728,0.021619039597387868,0.0
2024-09-19 16:51:00+00:00,63493.99,63500.0,63440.0,63445.48,2154606,3489,3,63440.0005,1,10276.714391946658,0.024973634668925104,0.0
2024-09-19 16:52:00+00:00,63445.48,63499.99,63445.48,63498.99,1327460,3156,2,63445.480500000005,1,10301.770553031443,0.027472673127953096,0.0
2024-09-19 16:53:00+00:00,63498.98,63675.97,63498.98,63603.72,13588483,15923,1,63498.980500000005,1,10309.883532696804,0.02828184130548994,0.0
2024-09-19 16:54:00+00:00,63603.71,63656.0,63572.0,63653.81,3323179,8541,0,63572.0005,1,10309.883532696804,0.02828184130548994,0.0
2024-09-19 16:55:00+00:00,63653.81,63669.0,63522.0,63567.24,2264597,8688,2,63522.0005,1,10317.462607350399,0.029037759140591923,0.0
2024-09-19 16:56:00+00:00,63567.24,63590.01,63520.0,63585.36,2505905,7544,0,63520.0005,1,10317.462607350399,0.029037759140591923,0.0
2024-09-19 16:57:00+00:00,63585.36,63613.98,63541.01,63613.97,2668868,5891,0,63541.0105,1,10317.462607350399,0.029037759140591923,0.0
2024-09-19 16:58:00+00:00,63613.97,63616.32,63516.34,63518.58,1774931,4171,3,63516.3405,1,10344.981870453215,0.031782461197117806,0.0
2024-09-19 16:59:00+00:00,63518.59,63577.88,63518.58,63556.92,1375451,2543,2,63518.5805,1,10366.317394949667,0.033910412724877714,0.0
2024-09-19 17:00:00+00:00,63556.92,63638.97,63532.0,63638.97,2052053,6178,0,63532.0005,1,10366.317394949667,0.033910412724877714,0.0
2024-09-19 17:01:00+00:00,63639.7,63688.0,63608.0,63688.0,1772211,5409,1,63608.0005,1,10360.545670059188,0.033334755407404826,-0.0005567767868357061
2024-09-19 17:02:00+00:00,63687.99,63762.0,63652.54,63652.54,6650632,12123,3,63652.5405,1,10377.05840243762,0.03498169378466476,0.0
2024-09-19 17:03:00+00:00,63652.55,63729.99,63650.0,63686.97,2021025,5446,2,63650.0005,1,10387.978539698528,0.036070840797271186,0.0
2024-09-19 17:04:00+00:00,63686.97,63760.0,63686.96,63738.77,6176335,5798,2,63686.9605,1,10382.311815759154,0.03550565601045297,-0.0005455078596589161
2024-09-19 17:05:00+00:00,63738.78,63753.99,63682.29,63753.99,2185678,5770,0,63682.2905,1,10382.311815759154,0.03550565601045297,-0.0005455078596589161
2024-09-19 17:06:00+00:00,63753.99,63794.88,63693.99,63704.0,2436731,8026,1,63693.9905,1,10385.89568862159,0.035863102471831665,-0.00020050590872699954
