Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,pointpos,Prediction_plot
2024-09-23 13:22:00+00:00,143.08,143.09,142.9,142.95,76020,644,0,142.9005,1
2024-09-23 13:23:00+00:00,142.95,142.95,142.76,142.79,134501,767,1,142.76049999999998,1
2024-09-23 13:24:00+00:00,142.78,142.93,142.77,142.93,138350,366,0,142.7705,1
2024-09-23 13:25:00+00:00,142.92,142.99,142.84,142.9,190090,480,3,142.8405,1
2024-09-23 13:26:00+00:00,142.9,143.02,142.9,142.99,70990,379,2,142.9005,1
2024-09-23 13:27:00+00:00,142.99,143.07,142.97,143.06,144409,508,1,142.9705,1
2024-09-23 13:28:00+00:00,143.07,143.19,143.07,143.18,82644,530,0,143.07049999999998,1
2024-09-23 13:29:00+00:00,143.18,143.22,143.14,143.16,89264,356,0,143.14049999999997,1
2024-09-23 13:30:00+00:00,143.15,143.15,142.96,143.02,258835,2038,0,142.9605,1
2024-09-23 13:31:00+00:00,143.02,143.06,142.93,143.0,756788,1725,0,142.9305,1
2024-09-23 13:32:00+00:00,143.0,143.0,142.91,142.91,189212,1102,1,142.91049999999998,1
2024-09-23 13:33:00+00:00,142.91,143.57,142.91,143.55,848805,1598,0,142.91049999999998,1
2024-09-23 13:34:00+00:00,143.56,143.57,143.36,143.36,466048,1342,0,143.3605,1
2024-09-23 13:35:00+00:00,143.37,143.39,143.07,143.22,300606,1729,1,143.07049999999998,1
2024-09-23 13:36:00+00:00,143.24,143.49,143.23,143.39,598615,1433,0,143.23049999999998,1
2024-09-23 13:37:00+00:00,143.39,143.5,143.34,143.35,208539,1980,0,143.3405,1
2024-09-23 13:38:00+00:00,143.35,143.5,143.25,143.29,259772,1725,3,143.2505,1
2024-09-23 13:39:00+00:00,143.29,143.41,143.27,143.33,208186,1394,2,143.2705,1
2024-09-23 13:40:00+00:00,143.33,143.63,143.28,143.51,586062,2002,1,143.2805,1
2024-09-23 13:41:00+00:00,143.52,143.72,143.52,143.67,312919,1553,0,143.5205,1
2024-09-23 13:42:00+00:00,143.67,143.7,143.45,143.49,395776,1089,1,143.45049999999998,1
2024-09-23 13:43:00+00:00,143.49,143.8,143.49,143.78,421960,1136,0,143.4905,1
2024-09-23 13:44:00+00:00,143.78,143.81,143.71,143.71,454523,597,0,143.7105,1
2024-09-23 13:45:00+00:00,143.71,143.8,143.36,143.36,862596,2644,0,143.3605,1
2024-09-23 13:46:00+00:00,143.37,143.39,142.99,143.1,562044,2776,4,142.9905,1
2024-09-23 13:47:00+00:00,143.11,143.37,143.06,143.33,638972,2564,3,143.0605,1
2024-09-23 13:48:00+00:00,143.33,143.78,143.33,143.5,810533,1805,2,143.3305,1
2024-09-23 13:49:00+00:00,143.49,143.7,143.35,143.63,376030,2258,1,143.35049999999998,1
2024-09-23 13:50:00+00:00,143.64,143.71,143.5,143.63,565054,1554,1,143.5005,1
2024-09-23 13:51:00+00:00,143.63,143.7,143.39,143.44,485905,2100,1,143.39049999999997,1
2024-09-23 13:52:00+00:00,143.45,143.5,143.32,143.39,373728,1530,0,143.32049999999998,1
2024-09-23 13:53:00+00:00,143.39,143.44,143.1,143.17,264905,1568,0,143.10049999999998,1
2024-09-23 13:54:00+00:00,143.17,143.27,143.03,143.12,445827,1675,0,143.0305,1
2024-09-23 13:55:00+00:00,143.11,143.2,142.96,142.98,230937,1280,2,142.9605,1
2024-09-23 13:56:00+00:00,142.98,143.11,142.84,143.02,946839,1525,1,142.8405,1
2024-09-23 13:57:00+00:00,143.02,143.12,142.99,143.1,239472,654,0,142.9905,1
2024-09-23 13:58:00+00:00,143.1,143.11,143.01,143.05,133965,627,1,143.01049999999998,1
2024-09-23 13:59:00+00:00,143.05,143.11,142.95,143.11,149280,965,0,142.95049999999998,1
2024-09-23 14:00:00+00:00,143.1,143.14,142.82,143.1,896586,1908,2,142.82049999999998,1
2024-09-23 14:01:00+00:00,143.1,143.38,143.09,143.19,837519,2199,1,143.0905,1
2024-09-23 14:02:00+00:00,143.2,143.35,143.2,143.31,268009,1689,0,143.20049999999998,1
2024-09-23 14:03:00+00:00,143.31,143.31,143.13,143.18,159203,1242,5,143.13049999999998,1
